linearOddonacci(5) = 5.0, Time: 0.00325 ms

linearOddonacci(10) = 105.0, Time: 0.00275 ms

linearOddonacci(15) = 2209.0, Time: 0.002917 ms

linearOddonacci(20) = 46499.0, Time: 0.006 ms

linearOddonacci(25) = 978793.0, Time: 0.00475 ms

linearOddonacci(30) = 2.0603361E7, Time: 0.005708 ms

linearOddonacci(35) = 4.33695873E8, Time: 0.0065 ms

linearOddonacci(40) = 9.129195487E9, Time: 0.007875 ms

linearOddonacci(45) = 1.92167404461E11, Time: 0.008125 ms

linearOddonacci(50) = 4.045078385041E12, Time: 0.009 ms

linearOddonacci(55) = 8.5147942685809E13, Time: 0.010292 ms

linearOddonacci(60) = 1.792344042191491E15, Time: 0.01275 ms

linearOddonacci(65) = 3.772841790709216E16, Time: 0.014667 ms

linearOddonacci(70) = 7.941742680338127E17, Time: 0.012667 ms

linearOddonacci(75) = 1.6717180390659348E19, Time: 0.013916 ms

linearOddonacci(80) = 3.5189269088978724E20, Time: 0.004791 ms

linearOddonacci(85) = 7.407257863344225E21, Time: 0.003167 ms

linearOddonacci(90) = 1.559210250015092E23, Time: 0.001458 ms

linearOddonacci(95) = 3.2821006755859276E24, Time: 0.0015 ms

linearOddonacci(100) = 6.908744247016933E25, Time: 0.001542 ms

linearOddonacci(105) = 1.4542743135741434E27, Time: 0.0035 ms

linearOddonacci(110) = 3.0612130128202764E28, Time: 0.00175 ms

linearOddonacci(115) = 6.443780944483024E29, Time: 0.001833 ms

linearOddonacci(120) = 1.3564006387856126E31, Time: 0.003541 ms

linearOddonacci(125) = 2.8551912436955515E32, Time: 0.002667 ms

linearOddonacci(130) = 6.010109996242962E33, Time: 0.002084 ms

linearOddonacci(135) = 1.2651139305185963E35, Time: 0.003875 ms

linearOddonacci(140) = 2.6630348832096644E36, Time: 0.002167 ms

linearOddonacci(145) = 5.605625405045106E37, Time: 0.00225 ms

linearOddonacci(150) = 1.1799708813357338E39, Time: 0.004083 ms

linearOddonacci(155) = 2.483810779698407E40, Time: 0.002458 ms

linearOddonacci(160) = 5.2283629087205166E41, Time: 0.003083 ms

linearOddonacci(165) = 1.1005580186991403E43, Time: 0.002625 ms

linearOddonacci(170) = 2.316648583254885E44, Time: 0.002584 ms

linearOddonacci(175) = 4.876490441313122E45, Time: 0.00425 ms

linearOddonacci(180) = 1.0264896970608804E47, Time: 0.002792 ms

linearOddonacci(185) = 2.1607365191274877E48, Time: 0.004667 ms

linearOddonacci(190) = 4.548299236182464E49, Time: 0.003459 ms

linearOddonacci(195) = 9.57406225087151E50, Time: 0.00475 ms

linearOddonacci(200) = 2.0153174455711128E52, Time: 0.003 ms

